countryName,continentName,regionName,subregionName
Afghanistan,Asia,Central Asia,
Akrotiri Sovereign Base Area,Europe,Mediterranean,
Aland,Europe,Nordic,
Albania,Europe,Balkans,
Algeria,Africa,North Africa,
American Samoa,Oceania,Polynesia,
Andorra,Europe,Mediterranean,
Angola,Africa,Southern Africa,
Anguilla,North America,Caribbean,
Antarctica,Antarctica,Antarctica,
Antigua and Barbuda,North America,Caribbean,
Argentina,South America,Southern Cone,
Armenia,Asia,Caucasus,
Aruba,North America,Caribbean,
Ashmore and Cartier Islands,Oceania,Australasia,
Australia,Oceania,New South Wales,Australian Capital Territory
Australia,Oceania,New South Wales,New South Wales
Australia,Oceania,New South Wales,Jervis Bay Territory
Australia,Oceania,New South Wales,Lord Howe Island
Australia,Oceania,Northern Territory,Northern Territory
Australia,Oceania,Queensland,Queensland
Australia,Oceania,South Australia,South Australia
Australia,Oceania,Tasmania,Tasmania
Australia,Oceania,Victoria,Victoria
Australia,Oceania,Victoria,Macquarie Island
Australia,Oceania,Western Australia,Western Australia
Austria,Europe,Central Europe,
Azerbaijan,Asia,Caucasus,
Bahrain,Asia,Middle East,
Bangladesh,Asia,South Asia,
Barbados,North America,Caribbean,
Baykonur Cosmodrome,Asia,Central Asia,
Belarus,Europe,East Slavic,
Belgium,Europe,Benelux,
Belize,North America,Central America,
Benin,Africa,West Africa,
Bermuda,North America,North Atlantic,
Bhutan,Asia,South Asia,
Bolivia,South America,Andean,
Bosnia and Herzegovina,Europe,Balkans,
Botswana,Africa,Southern Africa,
Brazil,South America,Norte Brasil,Acre
Brazil,South America,Norte Brasil,Amapá
Brazil,South America,Norte Brasil,Amazonas
Brazil,South America,Norte Brasil,Pará
Brazil,South America,Norte Brasil,Rondônia
Brazil,South America,Norte Brasil,Roraima
Brazil,South America,Norte Brasil,Tocantins
Brazil,South America,Nordeste Brasil,Alagoas
Brazil,South America,Nordeste Brasil,Bahia
Brazil,South America,Nordeste Brasil,Ceará
Brazil,South America,Nordeste Brasil,Maranhão
Brazil,South America,Nordeste Brasil,Paraíba
Brazil,South America,Nordeste Brasil,Pernambuco
Brazil,South America,Nordeste Brasil,Piauí
Brazil,South America,Nordeste Brasil,Rio Grande do Norte
Brazil,South America,Nordeste Brasil,Sergipe
Brazil,South America,Centro-Oeste Brasil,Distrito Federal
Brazil,South America,Centro-Oeste Brasil,Goiás
Brazil,South America,Centro-Oeste Brasil,Mato Grosso
Brazil,South America,Centro-Oeste Brasil,Mato Grosso do Sul
Brazil,South America,Sudeste Brasil,Espírito Santo
Brazil,South America,Sudeste Brasil,Minas Gerais
Brazil,South America,Sudeste Brasil,Rio de Janeiro
Brazil,South America,Sudeste Brasil,São Paulo
Brazil,South America,Sul Brasil,Paraná
Brazil,South America,Sul Brasil,Rio Grande do Sul
Brazil,South America,Sul Brasil,Santa Catarina
British Indian Ocean Territory,Asia,South Asia,
British Virgin Islands,North America,Caribbean,
Brunei,Asia,Southeast Asia,
Bulgaria,Europe,Balkans,
Burkina Faso,Africa,West Africa,
Burundi,Africa,East Africa,
Cambodia,Asia,Southeast Asia,
Cameroon,Africa,Central Africa,
Canada,North America,Atlantic Canada,New Brunswick
Canada,North America,Atlantic Canada,Newfoundland and Labrador
